"","X","cement","slag","ash","water","superplastic","coarseagg","fineagg","age","strength"
"1",0,1,0,0,0.321086261980831,0.077639751552795,0.694767441860465,0.205720020070246,0.0741758241758242,0.967484739005855
"2",0.000970873786407767,1,0,0,0.321086261980831,0.077639751552795,0.738372093023256,0.205720020070246,0.0741758241758242,0.741995764295503
"3",0.00194174757281553,0.526255707762557,0.396494156928214,0,0.848242811501597,0,0.380813953488372,0,0.739010989010989,0.472654790083468
"4",0.0029126213592233,0.526255707762557,0.396494156928214,0,0.848242811501597,0,0.380813953488372,0,1,0.4823719945185
"5",0.00388349514563107,0.220547945205479,0.368391764051197,0,0.560702875399361,0,0.515697674418605,0.58078273958856,0.986263736263736,0.522860346331132
"6",0.00485436893203883,0.374429223744292,0.317195325542571,0,0.848242811501597,0,0.380813953488372,0.190667335674862,0.244505494505494,0.556870561853744
"7",0.0058252427184466,0.634703196347032,0.264329437952142,0,0.848242811501597,0,0.380813953488372,0,1,0.5153855736888
"8",0.00679611650485437,0.634703196347032,0.264329437952142,0,0.848242811501597,0,0.380813953488372,0,0.0741758241758242,0.425065404260621
"9",0.00776699029126214,0.374429223744292,0.317195325542571,0,0.848242811501597,0,0.380813953488372,0.190667335674862,0.0741758241758242,0.542170175657157
"10",0.0087378640776699,0.851598173515982,0,0,0.848242811501597,0,0.380813953488372,0,0.0741758241758242,0.460445994767659
"11",0.00970873786407767,0.220547945205479,0.368391764051197,0,0.560702875399361,0,0.515697674418605,0.58078273958856,0.244505494505494,0.445247290394917
"12",0.0106796116504854,0.220547945205479,0.368391764051197,0,0.560702875399361,0,0.515697674418605,0.58078273958856,0.0741758241758242,0.320044848635854
"13",0.0116504854368932,0.743150684931507,0.132164718976071,0,0.848242811501597,0,0.380813953488372,0,0.739010989010989,0.506789585150118
"14",0.012621359223301,0.200913242009132,0.528658875904285,0,0.848242811501597,0,0.380813953488372,0.190667335674862,0.244505494505494,0.498318176155475
"15",0.0135922330097087,0.461187214611872,0.211463550361714,0,0.848242811501597,0,0.380813953488372,0.190667335674862,0.0741758241758242,0.566587766288775
"16",0.0145631067961165,0.634703196347032,0,0,0.848242811501597,0,0.380813953488372,0.190667335674862,0.244505494505494,0.630123333748599
